edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
32,400.0,120.0,2,1,3,Familiar,Consumo,7200.0,False,True,819209102,8192091,RECHAZADO,57,0.3,MODERADO,R001,1,0,,True,False,1,0
67,2500.0,750.0,2,0,0,Propia,Consumo,10000.0,True,True,819603101,8196031,REVISION_MANUAL,68,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
58,400.0,120.0,2,1,1,Propia,Consumo,7200.0,False,True,820216101,8202161,REVISION_MANUAL,73,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
28,1800.0,540.0,2,4,2,Familiar,Consumo,10000.0,False,True,821504102,8215041,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
33,1000.0,300.0,2,1,1,Familiar,Consumo,10000.0,False,True,821701102,8217011,REVISION_MANUAL,61,0.3,MODERADO,R001,1,0,,True,False,1,0
29,2000.0,600.0,2,4,3,Familiar,Consumo,10000.0,False,True,822303101,8223031,REVISION_MANUAL,68,0.3,MODERADO,R001,1,0,,True,False,1,0
37,2500.0,750.0,2,1,2,Familiar,Negocio,12000.0,False,True,822505102,8225051,REVISION_MANUAL,72,0.3,MODERADO,R001|R006,2,0,,True,False,1,0
19,1400.0,420.0,2,2,4,Familiar,Consumo,10000.0,False,True,822820103,8228201,RECHAZADO,43,0.3,MODERADO,R001|R009|R010,3,0,,True,False,1,0
39,1500.0,450.0,2,1,2,Familiar,Negocio,12000.0,True,True,823007102,8230071,REVISION_MANUAL,72,0.3,MODERADO,R001|R006,2,0,,True,False,1,0
55,3000.0,900.0,2,1,1,Familiar,Consumo,10000.0,False,True,823404101,8234041,REVISION_MANUAL,72,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
24,2000.0,600.0,2,2,0,Familiar,Consumo,10000.0,False,True,825002101,8250021,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
18,10000.0,3000.0,2,3,2,Familiar,Consumo,10000.0,False,True,826001102,8260011,REVISION_MANUAL,71,0.3,MODERADO,R001|R009|R012,3,1,,True,False,1,0
71,3000.0,900.0,2,0,3,Propia,Consumo,10000.0,True,True,826201101,8262011,REVISION_MANUAL,64,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
